"Código","Descripción","Forma","Concentración","Pres.","I NA","II NA","III NA","Vía Adm.","Indicaciones","Reg. Terapéutico"
"D10AF01","Clindamicina","Liquido cutaneo","1 %","E    Especialista","1","1","1","T           Topico","Indicación general:Tratamiento del acne vulgar.",""
"D10AF02","Eritromicina","Liquido cutaneo","4 %","E    Especialista","1","1","1","T           Topico","Indicación general:Tratamiento del acne vulgar.",""
"G01AA10","Clindamicina","Solido vaginal","100 mg","G","1","1","1","V           Vaginal","Indicación general:Vaginosis bacteriana.",""
"G01AF01","Metronidazol","Solido vaginal","500 mg y 1.000 mg","G","1","1","1","V           Vaginal","Indicación general: Afecciones por Trichomonas  como uretritis y vaginitis.",""
"G01AF02","Clotrimazol","Solido vaginal","100 mg - 500 mg","G","1","1","1","V           Vaginal","Indicación general: Candidiasis vulvovaginal a partir de los 12 años.",""
"G01AF02","Clotrimazol","Semisolido vaginal","1 % y 2 %","G","1","1","1","V           Vaginal","Indicación general: Candidiasis vulvovaginal a partir de los 12 años.",""
"G02AB01","Metilergometrina (o G02AB03 Ergometrina)","Liquido parenteral","0,2 mg/mL","G","1","1","1","P         Parenteral","Indicación general:Atonía y hemorragias del parto y del posparto.Parto dirigido, maniobra de Credé.Hemorragias uterinas en el curso de cesáreas.Subinvolución uterina, loquiómetra.Hemorragias tardías del parto.Hemorragias del aborto, abortos iniciados e incompletos.Legrados.",""
"G02AB01","Metilergometrina (o G02AB03 Ergometrina)","Solido oral","0,125 mg","G","1","1","1","O        Oral","Indicación general:Atonía y hemorragias del parto y del posparto.Parto dirigido, maniobra de Credé.Hemorragias uterinas en el curso de cesáreas.Subinvolución uterina, loquiómetra.Hemorragias tardías del parto.Hemorragias del aborto, abortos iniciados e incompletos.Legrados.",""
"G02AD06","Misoprostol","Solido oral","200 mcg","(p)  Protocolo","1","1","1","O/V   Oral/Vaginal","Indicación general:Manejo farmacológico del aborto incompleto, diferido, hemorragia postparto.Maduración cervical e inducción del parto a término, especialmente en casos de cuello uterino inmaduro, siempre que no existan contraindicaciones fetales o maternas.",""
"G02CB03","Cabergolina","Solido oral","0,5 mg","F,E Continuidad por especialista","1","1","1","O        Oral","Hiperprolactinemia.Supresión de lactación (por razones médicas).",""
"G03AA05","Estradiol valerato + Noretisterona enantato","Liquido parenteral","(5 mg + 50 mg)/mL","G","1","1","1","P         Parenteral","Indicación general: Anticoncepción (vía parenteral).",""
"G03AA07","Levonorgestrel + Etinilestradiol","Solido oral","150 mcg + 30 mcg","G","1","1","1","O        Oral","Indicación general:Anticoncepción oral,dismenorreas, endometriosis, crisis ovulatorias.Reposo ovárico. Terapia hormonal sustitutiva de la menopausia.",""
"G03AC03","Levonorgestrel","Solido oral","0,030 mg","G","1","1","1","O        Oral","Indicación general: Sólido oral: Anticoncepción oral diaria durante la lactancia. Sólido parenteral (implante subdérmico): Anticoncepción.   Indicación exclusiva: Sistema intrauterino: Menorragia idiopática.",""
"G03AC03","Levonorgestrel","Solido parenteral (Implante subdermico)","150 mg  (2 varillas de 75 mg)","G","1","1","1","P         Parenteral","Indicación general: Sólido oral: Anticoncepción oral diaria durante la lactancia. Sólido parenteral (implante subdérmico): Anticoncepción.   Indicación exclusiva: Sistema intrauterino: Menorragia idiopática.",""
"G03AC03","Levonorgestrel*","Sistema intrauterino","52 mg","E    Especialista","","1","1","IU       Intrauterina","Indicación general: Sólido oral: Anticoncepción oral diaria durante la lactancia. Sólido parenteral (implante subdérmico): Anticoncepción.   Indicación exclusiva: Sistema intrauterino: Menorragia idiopática.",""
"G03AD01","Levonorgestrel","Solido oral","0,75 mg y 1,5 mg","G","1","1","1","O        Oral","Indicación general:Anticonceptivo oral de emergencia, dentro de las 72 horas siguientes a haber mantenido relaciones sexuales sin protección o al fallo de un método anticonceptivo. ",""
"G03BA03","Testosterona","Liquido parenteral","250 mg/mL","E    Especialista","","1","1","P         Parenteral","Indicación general:Hipogonadismo masculino, carcinoma mamario avanzado, retraso en pubertad masculina.",""
"G03CA03","Estradiol","Solido cutaneo (parche transdermico)","3,9 mg","E    Especialista","","1","1","T           Topico","Indicación general: Terapia de remplazo hormonal (TRH).Hipoestrogenismo. Tratamiento paliativo de cáncer de mama y de próstata.",""
"G03CA03","Estradiol","Solido oral","1 mg","E    Especialista","","1","1","O        Oral","Indicación general: Terapia de remplazo hormonal (TRH).Hipoestrogenismo. Tratamiento paliativo de cáncer de mama y de próstata.",""
"G03CA04","Estriol","Semisolido vaginal","0,1 %","G","1","1","1","V           Vaginal","Indicación general: Atrofia vulvovaginal menopáusica.",""
"G03DA04","Progesterona","Solido oral","100 mg","E    Especialista","1","1","1","O/V   Oral/Vaginal","Indicación general: Vía oral: Trastornos ligados a una insuficiencia en progesterona.Irregularidades del ciclo menstrual por disovulación o anovulación. Síndrome premenstrual. Premenopausia. Menopausia: Complemento del tratamiento estrogénico en mujeres con útero intacto. Vía vaginal: Esta vía se utiliza de manera particular en los siguientes casos:- Reposición en progesterona durante el curso de déficits completos en mujeres ovario privadas (transplante de óvulos)- Suplementación de la fase luteal durante el curso de ciclos de fecundación in vitro (FIV)- Suplementación de la fase luteal durante el curso de ciclos espontáneos o inducidos en caso de hipofertilidad o esterilidad primaria o secundaria por disovulación.- Amenaza de aborto o prevención de abortos repetitivos por insuficiencia luteal.",""
"G03FA12","Medroxiprogesterona + Estrógenos conjugados","Solido oral","2,5 mg + 0,625 mg","E    Especialista","","1","1","O        Oral","Indicación general: Menopausia, disfunción vasomotora menopáusica. Atrofia vaginal menopáusica. Profilaxis de osteoporosis postmenopáusica.",""
"G03GB02","Clomifeno","Solido oral","50 mg","E    Especialista","","1","1","O        Oral","Indicación general: Infertilidad femenina anovulatoria (inductor de la ovulación).",""
"G04BE03","Sildenafilo*","Solido oral","25 mg - 100 mg","HE     Hospitalario Especialista","","","1","O        Oral","Indicación exclusiva: Uso exclusivo en hipertensión pulmonar.",""
"G04CA02","Tamsulosina","Solido oral","0,4 mg","E    Especialista","1","1","1","O        Oral","Indicación general: Hipertrofia prostática benigna.",""
"G04CB02","Dutasterida*","Solido oral","0,5 mg","E    Especialista","","1","1","O        Oral","Indicación exclusiva: Tratamiento de la hiperplasia prostática benigna con sintomatología moderada o severa y en aquellos pacientes con alto riesgo quirúrgico que no pueden ser sometidos a prostatectomía.",""
"H01AB01","Tirotropina Alfa*","Solido parenteral","0,9 mg","HE     Hospitalario Especialista","","","1","P         Parenteral","Indicación exclusiva: Estimulación pre terapéutica en combinación con yodo para la ablación de remanentes de tejido tiroideo.",""
"H01AC01","Somatotropina*","Liquido parenteral/Solido parenteral","5,3 mg - 20 mg","HE (p) Hospitalario Especialista Protocolo","","","1","P         Parenteral","Indicación exclusiva: Déficit de hormona de crecimiento (medicamento sujeto a seguimiento y reporte de resultados).",""
"H01BA02","Desmopresina","Liquido para inhalacion","100 mcg/mL","E    Especialista","","1","1","N          Nasal","Indicación general: Diabetes insípida central. Hemofilia A (niveles de factor VIII ≥5%).",""
"H01BA02","Desmopresina","Liquido parenteral","15 mcg/mL","E    Especialista","","1","1","P         Parenteral","Indicación general: Diabetes insípida central. Hemofilia A (niveles de factor VIII ≥5%).",""
"H01BA02","Desmopresina","Solido oral","0,1 mg","E    Especialista","","1","1","O        Oral","Indicación general: Diabetes insípida central. Hemofilia A (niveles de factor VIII ≥5%).",""
"H01BA04","Terlipresina*","Liquido parenteral/Solido parenteral","1 mg que equivale a  0,86 mg","HE     Hospitalario Especialista","","1","1","P         Parenteral","Indicación exclusiva: Várices esofágicas sangrantes.",""
"H01BB02","Oxitocina","Liquido parenteral","10 UI/mL","G","1","1","1","P         Parenteral","Indicación general:Prevención de hemorragia uterina postparto. Prevención de hemorragia uterina postaborto. Tratamiento de hemorragia post parto. Inducción de la labor de parto.",""
"H01CB02","Octreotida*","Liquido parenteral","0,1 mg/mL","E    Especialista","","1","1","P(IV,IM,SC)   Parenteral (Intravenoso/Intramuscular/Subcutáneo)","Indicación exclusiva: Uso exclusivo en pacientes con acromegalia, tumores carcinoides, VIPomas y glucagonomas.",""
"H01CB02","Octreotida*","Solido parenteral (Liberacion prolongada)","20 mg y 30 mg","E (p) Especialista, Protocolo","","","1","P         Parenteral","Indicación exclusiva: Uso exclusivo en pacientes con acromegalia, tumores carcinoides, VIPomas y glucagonomas.",""
"H02AA02","Fludrocortisona*","Solido oral","0,1 mg","F,E(p) Continuidad por especialista, protocolo","1","1","1","O        Oral","Indicación exclusiva: Uso exclusivo en pacientes con hiperplasia suprarrenal congénita o insuficiencia suprarrenal primaria que requiere reemplazo mineralocorticoide.",""
"H02AB01","Betametasona","Liquido parenteral","4 mg/mL","H   Hospitalaria","1","1","1","P         Parenteral","Indicación general: Desordenes endocrinológicos.Enfermedades inflamatorias y alérgicas severas. Maduración pulmonar fetal.",""
"H02AB02","Dexametasona","Liquido parenteral","4 mg/mL","K,H     Kits de emergencia,hospitalario","1","1","1","P         Parenteral","Indicación general: Hiperplasia suprarrenal congénita en el adulto.Tiroiditis subaguda no supurativa.Control alergias severas.Insuficiencia suprarrenal.Enfermedades inflamatorias.Enfermedades del colágeno, reumáticas y extra-articulares.Shock anafiláctico que no responde a otros medicamentos.Coadyuvante de la terapia antineoplásica (hipercalcemia y vómito por quimioterapia).Edema cerebral agudo.Prevención del síndrome de dificultad respiratoria del neonato pretérmino.Croup en niños.Otras similares a las de betametasona.Diagnóstico de síndrome de Cushing.En exacerbación aguda de esclerosis múltiple, púrpura trombocitopénica idiopática, edema macular de retina, triquinosis con afectación neurológica o miocárdica.Coadyuvante en la meningitis tuberculosa.Síndrome nefrótico idiopático o por lupus eritematoso sistémico.Uveítis posterior no infecciosa.En cuidados paliativos para náusea, vómito, compresión medular, compresión de nervio, disnea (pneumonitis luego de radioterapia, linfangitis carcinomatosa, compresión traqueal/estridor) obstrucción de vena cava superior, obstrucción de víscera hueca (bronquio, uréter, intestino), inflamación inducida por la radiación, secreción rectal, dolor óseo, mejorar el apetito, mejorar la sensación de bienestar, fatiga, hipercalcemia maligna, hipertensión endocraneana.",""
"H02AB02","Dexametasona","Solido oral","4 mg y 8 mg","G","1","1","1","O        Oral","Indicación general: Hiperplasia suprarrenal congénita en el adulto.Tiroiditis subaguda no supurativa.Control alergias severas.Insuficiencia suprarrenal.Enfermedades inflamatorias.Enfermedades del colágeno, reumáticas y extra-articulares.Shock anafiláctico que no responde a otros medicamentos.Coadyuvante de la terapia antineoplásica (hipercalcemia y vómito por quimioterapia).Edema cerebral agudo.Prevención del síndrome de dificultad respiratoria del neonato pretérmino.Croup en niños.Otras similares a las de betametasona.Diagnóstico de síndrome de Cushing.En exacerbación aguda de esclerosis múltiple, púrpura trombocitopénica idiopática, edema macular de retina, triquinosis con afectación neurológica o miocárdica.Coadyuvante en la meningitis tuberculosa.Síndrome nefrótico idiopático o por lupus eritematoso sistémico.Uveítis posterior no infecciosa.En cuidados paliativos para náusea, vómito, compresión medular, compresión de nervio, disnea (pneumonitis luego de radioterapia, linfangitis carcinomatosa, compresión traqueal/estridor) obstrucción de vena cava superior, obstrucción de víscera hueca (bronquio, uréter, intestino), inflamación inducida por la radiación, secreción rectal, dolor óseo, mejorar el apetito, mejorar la sensación de bienestar, fatiga, hipercalcemia maligna, hipertensión endocraneana.",""
"H02AB04","Metilprednisolona, acetato","Liquido parenteral","40 mg/mL","E    Especialista","","1","1","P         Parenteral","Indicación general: Metilprednisolona acetato: Enfermedades inflamatorias, inflamaciones articulares. Metilprednisolona succinato: Enfermedades inflamatorias, nefritis lúpica estadio III y IV (episodios agudos).Shock anafiláctico (medicamento de segunda línea), lesiones de la médula espinal, crisis asmática severa, anemia aplásica primaria refractaria, eritema multiforme (Síndrome de Steven-Johnson), enfermedad de Crohn, colitis ulcerosa, edema cerebral asociado a tumor maligno, polimiositis y dermatomiositis. Insuficiencia adrenal primaria o secundaria, hiperplasia adrenal congénita, tiroiditis subaguda no supurativa (la hidrocortisona y cortisona son los medicamentos de primera elección para esta patología).",""
"H02AB04","Metilprednisolona, succinato","Solido parenteral","125 mg y 500 mg","E    Especialista","","1","1","P         Parenteral","Indicación general: Metilprednisolona acetato: Enfermedades inflamatorias, inflamaciones articulares. Metilprednisolona succinato: Enfermedades inflamatorias, nefritis lúpica estadio III y IV (episodios agudos).Shock anafiláctico (medicamento de segunda línea), lesiones de la médula espinal, crisis asmática severa, anemia aplásica primaria refractaria, eritema multiforme (Síndrome de Steven-Johnson), enfermedad de Crohn, colitis ulcerosa, edema cerebral asociado a tumor maligno, polimiositis y dermatomiositis. Insuficiencia adrenal primaria o secundaria, hiperplasia adrenal congénita, tiroiditis subaguda no supurativa (la hidrocortisona y cortisona son los medicamentos de primera elección para esta patología).",""
"H02AB06","Prednisolona","Solido oral","5 mg y 20 mg","G","1","1","1","O        Oral","Indicación general:Insuficiencia suprarrenal.Enfermedades inflamatorias o alérgicas, esclerosis múltiple, artritis reumatoide, asma.Síndrome nefrótico en niños, enfermedades inflamatorias intestinales, croup.",""
"H02AB07","Prednisona","Solido oral","5 mg y 20 mg","G","1","1","1","O        Oral","Indicación general: Insuficiencia suprarrenal, enfermedades inflamatorias o alérgicas, esclerosis múltiple, artritis reumatoide, asma y síndrome nefrótico en niños, enfermedades inflamatorias intestinales, púrpura trombocitopénica idiopática.Premedicación para tratamiento oncológico.",""
"H02AB09","Hidrocortisona*","Solido oral","5 mg - 20 mg","E    Especialista","","1","1","O        Oral","Indicación general: Sólido parenteral: Insuficiencia suprarrenal aguda, enfermedades inflamatorias o alérgicas, estatus asmático, antiinflamatorio o inmunosupresor, coadyuvante en el manejo de pacientes politraumatizados e intubados, eritema multiforme severo (Stevens- Johnson), insuficiencia adrenal primaria o secundraria, hiperplasia adrenal congénita, tiroiditis subaguda no supurativa. Indicación exclusiva: Sólido oral: Uso exclusivo en pacientes con hiperplasia suprarrenal congénita o insuficiencia suprarrenal primaria que requieren reemplazo glucocorticoide.",""
"H02AB09","Hidrocortisona, succinato sódico","Solido parenteral","100 mg y 500 mg","G","1","1","1","P         Parenteral","Indicación general: Sólido parenteral: Insuficiencia suprarrenal aguda, enfermedades inflamatorias o alérgicas, estatus asmático, antiinflamatorio o inmunosupresor, coadyuvante en el manejo de pacientes politraumatizados e intubados, eritema multiforme severo (Stevens- Johnson), insuficiencia adrenal primaria o secundraria, hiperplasia adrenal congénita, tiroiditis subaguda no supurativa. Indicación exclusiva: Sólido oral: Uso exclusivo en pacientes con hiperplasia suprarrenal congénita o insuficiencia suprarrenal primaria que requieren reemplazo glucocorticoide.",""
"H03AA01","Levotiroxina sódica","Solido oral","25 mcg - 200 mcg","E    Especialista","1","1","1","O        Oral","Indicación general: Hipotiroidismo primario y secundario.",""
"H03BB02","Tiamazol (metimazol)","Solido oral","5 mg","E    Especialista","","1","1","O        Oral","Indicación general: Hipertiroidismo, incluyendo enfermedad de graves, manejo de tormenta tiroidea, preparación para tiroidectomía en pacientes hipertiroideos, como coadyuvante de terapia con yodo radiactivo.",""
"H04AA01","Glucagón","Solido parenteral","1 mg (1UI)","G","1","1","1","P         Parenteral","Indicación general: Tratamiento de reacciones hipoglucémicas severas, en pacientes con diabetes tratados con insulina. Antídoto:Antídoto para intoxicación por betabloqueadores.",""
"H05BX02","Paricalcitol*","Liquido parenteral","5 mcg/mL","E (p) Especialista, Protocolo","","","1","P         Parenteral","Indicación exclusiva: Exclusivamente como segunda opción en el manejo de hiperparatiroidismo secundario, cuando existe intolerancia a calcitriol en pacientes con insuficiencia renal crónica grado 5 en hemodiálisis.",""
"J01AA02","Doxiciclina","Solido oral","100 mg","G","1","1","1","O        Oral","Indicación general:Infecciones por Chlamydia trachomatis (linfogranuloma venéreo).Uretritis y/o cervicitis no gonocócica (en terapia dual combinado con ceftriaxona u otro agente contra gonococo). Otras infecciones de transmisión sexual. Tratamiento de enfermedad pélvica inflamatoria (EPI). Prostatitis crónica. Acné vulgar. Rosácea. Profilaxis de leptospirosis y malaria. Enfermedad periodontal. Infecciones por Brucelosis. Infección Chancroide por Haemophilus ducreyi. Sinusitis. Sífilis.Coadyuvante en amebiasis intestinal aguda.Infecciones por Rickettsias.",""
"J01AA12","Tigeciclina*","Solido parenteral","50 mg","HE     Hospitalario Especialista","","1","1","P         Parenteral","Indicación exclusiva: Infecciones complicadas de piel y tejidos blandos; intrabdominales o neumonía por patógenos sensibles.",""
"J01CA01","Ampicilina","Solido parenteral","500 mg y 1.000 mg","G","1","1","1","P         Parenteral","Indicación general: Infecciones causadas por microorganismos sensibles al medicamento, tales como:Infecciones otorrinolaringológicas.Infecciones respiratorias.Infecciones del tracto gastrointestinal.Infecciones genitourinarias.Meningitis.Endocarditis bacteriana.Septicemia.",""
"J01CA04","Amoxicilina","Solido oral","500 mg","G","1","1","1","O        Oral","Indicación general:Infecciones de garganta, nariz y oídos: amigdalitis, otitis media, sinusitis.Infecciones del tracto respiratorio inferior.Infecciones del tracto genitourinario.Infecciones de la piel y tejidos blandos.Endocarditis bacteriana. Tratamiento de infecciones por Helicobacter pylori. Enfermedad de Lyme. ",""
"J01CA04","Amoxicilina","Solido oral (polvo)","100 mg/mL","G","1","1","1","O        Oral","Indicación general:Infecciones de garganta, nariz y oídos: amigdalitis, otitis media, sinusitis.Infecciones del tracto respiratorio inferior.Infecciones del tracto genitourinario.Infecciones de la piel y tejidos blandos.Endocarditis bacteriana. Tratamiento de infecciones por Helicobacter pylori. Enfermedad de Lyme. ",""
"J01CA04","Amoxicilina","Solido oral (polvo)","250 mg/5 mL","G","1","1","1","O        Oral","Indicación general:Infecciones de garganta, nariz y oídos: amigdalitis, otitis media, sinusitis.Infecciones del tracto respiratorio inferior.Infecciones del tracto genitourinario.Infecciones de la piel y tejidos blandos.Endocarditis bacteriana. Tratamiento de infecciones por Helicobacter pylori. Enfermedad de Lyme. ",""
"J01CE01","Bencilpenicilina  (Penicilina G cristalina)","Solido parenteral","1´000.000 UI y 5´000.000 UI","G","1","1","1","P         Parenteral","Indicación general: Septicemia, neumonía, pericarditis, endocarditis, meningitis.Actinomicosis (enfermedad cérvico-facial y enfermedad torácica y abdominal).Botulismo (terapia complementaria a la antitoxina), gangrena gaseosa y tétanos (terapia complementaria a la inmunoglobulina antitetánica).Difteria (terapia adyuvante a la antitoxina y prevención del estado de portador).Endocarditis por Erysipelothrix.Fusoespiroquetosis (infecciones graves de la orofaringe - D'Vicent, el tracto respiratorio inferior y el área genital).Infecciones producidas por Listeria, incluidas meningitis y endocarditis.Infecciones producidas por Pasteurella, incluidas bacteriemia y meningitis.Fiebre por mordedura de rata.Infecciones gonocócicas diseminadas.Sífilis.",""
"J01CE08","Bencilpenicilina benzatínica (Penicilina G benzatínica)","Solido parenteral","600.000 UI - 2´400.000 UI","G","1","1","1","P         Parenteral","Indicación general: Sífilis (sífilis congénita, sífilis latente tardía, latente temprana, sífilis latente sin duración conocida, neurosífilis, sífilis primaria, secundaria). Infecciones por Streptococcus beta hemolítico del grupo A. Profilaxis secundaria de Fiebre Reumática. Infecciones durante el embarazo.",""
"J01CF01","Dicloxacilina","Solido oral","500 mg","G","1","1","1","O        Oral","Indicación general: Infecciones ocasionadas por Staphylococcus aureus productores de penicilinasas.",""
"J01CF01","Dicloxacilina","Solido oral (polvo)","125 mg/5 mL y 250 mg/5 mL","G","1","1","1","O        Oral","Indicación general: Infecciones ocasionadas por Staphylococcus aureus productores de penicilinasas.",""
"J01CF04","Oxacilina","Solido parenteral","1.000 mg","HE     Hospitalario Especialista","","1","1","P         Parenteral","Indicación general: Infecciones debidas a Staphylococcus productores de beta-lactamasas incluyendo la otitis externa, coadyuvante en el tratamiento de neumonías, impétigos, celulitis, osteomielitis y endocarditis estafilocócicas.",""
"J01CR01","Ampicilina + Sulbactam","Solido parenteral","1.000 mg + 500 mg","H   Hospitalaria","","1","1","P         Parenteral","Indicación general: Infecciones ginecológicas.Infecciones intraabdominales.Infecciones de la piel y la estructura de la piel.Celulitis orbital.Enfermedad pélvica inflamatoria.Neumonía, sinusitis.Infecciones del tracto urinario.",""
"J01CR02","Amoxicilina + Ácido clavulánico","Solido oral","500 mg + 125 mg","G","1","1","1","O        Oral","Indicación general: Infecciones del tracto respiratorio inferior.Sinusitis bacteriana aguda.Otitis media aguda. Neumonía adquirida en la comunidad.Infección de piel o tejido celular subcutáneo. Infecciones del tracto urinario.",""
"J01CR02","Amoxicilina + Ácido clavulánico","Solido parenteral","1.000 mg + 200 mg","H   Hospitalaria","","1","1","P         Parenteral","Indicación general: Infecciones del tracto respiratorio inferior.Sinusitis bacteriana aguda.Otitis media aguda. Neumonía adquirida en la comunidad.Infección de piel o tejido celular subcutáneo. Infecciones del tracto urinario.",""
"J01CR02","Amoxicilina + Ácido clavulánico","Solido oral (polvo)","(125 mg + 31,25 mg)/5 mL y (250 mg + 62,5 mg)/5 mL","G","1","1","1","O        Oral","Indicación general: Infecciones del tracto respiratorio inferior.Sinusitis bacteriana aguda.Otitis media aguda. Neumonía adquirida en la comunidad.Infección de piel o tejido celular subcutáneo. Infecciones del tracto urinario.",""
"J01CR04","Sultamicilina","Solido oral","375 mg y 750 mg","G","1","1","1","O        Oral","Indicación general:Tratamiento de infecciones por microorganismos sensibles.",""
"J01CR05","Piperacilina + Tazobactam","Solido parenteral","4.000 mg + 500 mg","HE     Hospitalario Especialista","","1","1","P         Parenteral","Indicación general: Infecciones bacterianas abdominales complicadas. Septicemia. Infecciones complicadas del tracto genito urinario (endometritis puerperal), piel y tejidos blandos.Neumonía nosocomial.",""
"J01DB01","Cefalexina","Solido oral","500 mg","G","1","1","1","O        Oral","Indicación general: Infecciones bacterianas.Infecciones dérmicas. Faringitis estreptocócica, infección de vías urinarias no complicadas. Profilaxis de endocarditis bacteriana.Otitis media en niños. Sinusitis.",""
"J01DB01","Cefalexina","Solido oral","250 mg/5 mL","G","1","1","1","O        Oral","Indicación general: Infecciones bacterianas.Infecciones dérmicas. Faringitis estreptocócica, infección de vías urinarias no complicadas. Profilaxis de endocarditis bacteriana.Otitis media en niños. Sinusitis.",""
"J01DB04","Cefazolina","Solido parenteral","1.000 mg","K,H     Kits de emergencia,hospitalario","1","1","1","P         Parenteral","Indicación general: Infecciones bacterianas. Infecciones dérmicas. Faringitis estreptocócica, infecciones de las vías urinarias no complicadas. Profilaxis de endocarditis bacteriana.Otitis media en niños. Profilaxis prequirúrgica.",""
"J01DC02","Cefuroxima","Solido oral (polvo)","125 mg/5 mL  y 250 mg/5 mL","G","1","1","1","O        Oral","Tratamiento de infecciones del tracto respiratorio superior de adultos y niños a partir de 3 meses de edad. Infecciones urinarias altas y bajas.Infecciones no complicadas de la piel y de los tejidos blandos. Tratamiento inicial de la enfermedad de Lyme. Uso intravítreo en casos de endoftalmitis.",""
"J01DC02","Cefuroxima","Solido oral","250 mg y 500 mg","G","1","1","1","O        Oral","Tratamiento de infecciones del tracto respiratorio superior de adultos y niños a partir de 3 meses de edad. Infecciones urinarias altas y bajas.Infecciones no complicadas de la piel y de los tejidos blandos. Tratamiento inicial de la enfermedad de Lyme. Uso intravítreo en casos de endoftalmitis.",""
"J01DC02","Cefuroxima","Solido parenteral","750 mg","E    Especialista","","1","1","P         Parenteral","Tratamiento de infecciones del tracto respiratorio superior de adultos y niños a partir de 3 meses de edad. Infecciones urinarias altas y bajas.Infecciones no complicadas de la piel y de los tejidos blandos. Tratamiento inicial de la enfermedad de Lyme. Uso intravítreo en casos de endoftalmitis.",""
"J01DD01","Cefotaxima","Solido parenteral","1.000 mg","HE (p) Hospitalario Especialista Protocolo","","1","1","P         Parenteral","Primera línea: Meningitis bacteriana aguda, neumonía adquirida en la comunidad (grave), neunomía adquirida en el hospital, infecciones intraabdominales complicadas, pielonefritis o prostatitis (grave).Segunda línea: Infecciones óseas y articulares, pielonefritis o prostatitis (leve a moderada), sepsis en neonatos y niños.",""
"J01DD02","Ceftazidima","Solido parenteral","500 mg y 1.000 mg","HE (p) Hospitalario Especialista Protocolo","","1","1","P         Parenteral","Indicación general: Infecciones bacterianas severas producidas por gérmenes sensibles. Esta indicado espacialmente en infecciones producidas por Pseudomonas aeruginosa, identificada mediante cultivo.",""
"J01DD04","Ceftriaxona","Solido parenteral","500 mg y 1.000 mg","K,HE(p)  Kits de emergencia,hospitalario,protocolo","1","1","1","P         Parenteral","Indicación general: Meningitis bacteriana, neumonía adquirida en la comunidad, neumonía nosocomial, otitis media aguda, peritonitis, infección de las vías biliares, pielonefritis, infección ósea y articular. Infección complicada de la piel y tejidos blandos, gonorrea, sífilis, endocarditis bacteriana, enfermedad de Lyme (Estadios II y III), infecciones intraabdominales, enfermedad pélvica inflamatoria, infección de prótesis articular, cirugía contaminada cardiovascular, procedimientos urológicos y cirugía colorrectal.",""
"J01DD52","Ceftazidima + Avibactam","Solido parenteral","2.000 mg + 500 mg","HE (p) Hospitalario Especialista Protocolo","","","1","P(IV)  Parenteral (Intravenosa)","Indicación aprobada en la 11ª Revisión del CNMB: Ceftazidima + Avibactam está indicado en adultos para el tratamiento de Neumonía Adquirida en el Hospital (NAH), incluyendo Neumonía asociada a Ventilación mecánica (NAV) producida por enterobacterias productoras de BLEE y/o carbapenemasa tipo KPC u OXA-48 y/o Pseudomonas aeruginosa resistente a carbapenémicos, en pacientes adultos. Se deben tener en cuenta las recomendaciones oficiales sobre el uso adecuado de agentes antibacterianos.",""
"J01DE01","Cefepima","Solido parenteral","1.000 mg","HE (p) Hospitalario Especialista Protocolo","","1","1","P         Parenteral","Indicación general:Infecciones causadas por patógenos sensibles, neumonía nosocomial, infecciones graves del tracto urinario, infecciones graves de la piel y de los tejidos blandos, neutropenia febril, infecciones en pacientes con neutropenia grave o prolongada, infecciones graves en pacientes con trasplante de médula ósea reciente, infecciones intraabdominales graves/complicadas, meningitis bacteriana.",""
"J01DH02","Meropenem","Solido parenteral","500 mg y 1.000 mg","HE (p) Hospitalario Especialista Protocolo","","1","1","P         Parenteral","Indicación general: Neumonía grave, incluyendo neumonía adquirida en el hospital y asociada a ventilación, infecciones broncopulmonares en fibrosis quística, infecciones complicadas del tracto urinario, infecciones complicadas intraabdominales, infecciones maternas asociadas con el parto, infecciones complicadas de la piel y tejidos blandos, meningitis bacteriana aguda, neutropenia febril con riesgo de sepsis o shock séptico",""
"J01DH51","Imipenem + Cilastatina","Solido parenteral","500 mg + 500 mg","HE (p) Hospitalario Especialista Protocolo","","1","1","P         Parenteral","Indicación general:Neumonía hospitalaria y asociada a ventilación, infecciones intra-abdominales complicadas, infecciones intraparto y posparto, infecciones complicadas del tracto urinario, infecciones complicadas de piel y tejidos blandos, infecciones por Pseudomonas spp, sepsis, melioidosis, absceso hepático piógeno, fibrosis quística.",""
"J01EC02","Sulfadiazina","Solido oral","500 mg","E (p) Especialista, Protocolo","","","1","O        Oral","Indicación exclusiva: Uso exclusivo en pacientes con toxoplasmosis, incluido embarazadas.",""
"J01EE01","Cotrimoxazol  (Sulfametoxazol + Trimetoprim)","Liquido parenteral/Solido parenteral","(400 mg + 80 mg) y  (800 mg + 160 mg)","HE     Hospitalario Especialista","","1","1","P         Parenteral","Indicación general: Tratamiento de la neumonía producida por Pneumocystis jiroveci (P. carinii).  Nocardiosis, toxoplasmosis, listeriosis, infecciones por cepas de Staphylococcus aureus resistentes a meticilina (MRSA) como osteomielitis y artritis séptica o infecciones de la piel y de los tejidos blandos por MRSA.",""
